0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:54 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:54 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:54 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:54 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:38:55 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:40:08 +0200] "GET /Ej06_Selenium/formulario.html HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:40:08 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:59:36 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:59:36 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:16:59:36 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:12:15 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:13:10 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4673
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:13:12 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:13:31 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4662
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:13:45 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:38:25 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [29/Mar/2020:17:39:05 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4628
